Cod_Loc,IdProvincia,IdDepartamento,Categoria,Provincia,Localidad,Nombre,Domicilio,CP,Telefono,Mail,Web
6434010,6,6434,Salas de cine,Buenos Aires,LanÃºs,Coto Lanus,Warnes 2450,1824.0,,,https://www.zonacines.com.ar
6455030,6,6455,Salas de cine,Buenos Aires,Las Flores,San Martin,San Martin 593,7200.0,,,http://www.cinesanmartin3d.com.ar/
6420010,6,6420,Salas de cine,Buenos Aires,Las Toninas,Las Toninas,Calle 7 1564 Entre 36 Y 38,7106.0,,,
6469080,6,6469,Salas de cine,Buenos Aires,Lincoln,Cine Club Jorge Newbery,Av. Massey 839,6070.0,,,https://www.facebook.com/clubjorgenewberylincoln/
6483040,6,6483,Salas de cine,Buenos Aires,Lobos,Cine Teatro Italiano,9 De Julio 142,7240.0,,,https://www.facebook.com/teatrocineitaliano/
6515010,6,6515,Salas de cine,Buenos Aires,Los Polvorines,Cinemark Malvinas Argentinas,Av. Illia 3770,1613.0,,,https://www.cinemarkhoyts.com.ar
6385030,6,6385,Salas de cine,Buenos Aires,Los Toldos,Leonardo Favio,Mitre 841,6015.0,,,
6497060,6,6497,Salas de cine,Buenos Aires,LujÃ¡n,Cinepolis LujÃ¡n,R. PayrÃ³ y Mario Bravo,6702.0,,,https://www.cinepolis.com.ar/
6497060,6,6497,Salas de cine,Buenos Aires,LujÃ¡n,Cinema Rosso,Lavalle 410,6700.0,,,www.cinemarossolujan.com/
6511020,6,6511,Salas de cine,Buenos Aires,MaipÃº,Cine Teatro Sociedad Italiana,Rivadavia 555,7160.0,,,https://www.facebook.com/CineTeatroSociedadItalianaMaipu
6420020,6,6420,Salas de cine,Buenos Aires,Mar de AjÃ³,Atlantica California,Hipolito Irigoyen 18,7112.0,,,https://www.facebook.com/cinecaliforniamardeajo/
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Ambassador,Cordoba 1673,7600.0,,,http://www.cinemacenter.com.ar/
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Cine Cristal,Entre Rios 1783,7600.0,,,
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Cines Paseo Aldrey,Alberti 1610,7600.0,,,http://www.cinemacenter.com.ar/
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Herodes,Belgrano 2327,7600.0,,,
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Paseo Diagonal,Belgrano Y Diag. Pueyrredon 3058,7600.0,,,
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,T.E.Y.C.I. Cinema,Rivadavia 3050,7600.0,,,http://www.cinemacenter.com.ar/
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Teatro Auditorium,Bv. Maritimo 2280,7600.0,,,http://programacionauditorium.blogspot.com/
6756010,6,6756,Salas de cine,Buenos Aires,MartÃ­nez,Hoyts Unicenter,Parana 3745,1640.0,,,https://www.cinemarkhoyts.com.ar/
6532020,6,6532,Salas de cine,Buenos Aires,Mercedes,Cine Mercedes,Calle 20 728,6600.0,,,http://cinemercedes.com/
6280040,6,6280,Salas de cine,Buenos Aires,Miramar,Cine Atlantico,Calle 21 1564,7607.0,,,http://www.cineteatroatlantico.com.ar/
6560010,6,6560,Salas de cine,Buenos Aires,Moreno,Hoyts Moreno,Av. Victorica 1128,1744.0,,,https://www.cinemarkhoyts.com.ar/
6568010,6,6568,Salas de cine,Buenos Aires,MorÃ³n,Hoyts Moron,Juan Manuel De Rosas 658,1744.0,,,https://www.cinemarkhoyts.com.ar/
6568010,6,6568,Salas de cine,Buenos Aires,MorÃ³n,T. Municipalidad G. De La Ferrere,Alte. Brown 990,1708.0,,,http://www.moron.gob.ar
6861010,6,6861,Salas de cine,Buenos Aires,Munro,Lumiton,Sargento Cabral 2354,1605.0,,,https://lumiton.ar/
6861010,6,6861,Salas de cine,Buenos Aires,Munro,Showcase Norte,E. Echeverria 3750,1605.0,,,https://www.todoshowcase.com/
6581040,6,6581,Salas de cine,Buenos Aires,Necochea,Cine Ocean,Calle 83 350,7630.0,,,https://www.cinesocean.com.ar/
6595070,6,6595,Salas de cine,Buenos Aires,OlavarrÃ­a,Cine Paris,General Paz 2720,7400.0,,,http://www.cineparis.com.ar
6595070,6,6595,Salas de cine,Buenos Aires,OlavarrÃ­a,Flix Olavarria,Rivadavia 4730,7400.0,,,http://olavarria.flixcinema.com.ar/
6861010,6,6861,Salas de cine,Buenos Aires,Olivos,Centro Cultural York,Juan Bautista Alberdi 895,1636.0,,,https://www.facebook.com/cineteatroyorkolivos
6623100,6,6623,Salas de cine,Buenos Aires,Pergamino,Cinema Pergamino,Av. Mayo y San Nicolas,2700.0,,,http://vamosacinema.com/
6630020,6,6630,Salas de cine,Buenos Aires,Pila,"Cine Teatro Municipal Pila ""Padre Adolfo Anastasio""",Calle 6 y Calle 19,7116.0,,,https://www.facebook.com/CineTeatroPila/
6638040,6,6638,Salas de cine,Buenos Aires,Pilar,Cinepolis Pilar,Panamericana Ac. Norte Km 50,1629.0,,,https://www.villagecines.com/
6638040,6,6638,Salas de cine,Buenos Aires,Pilar,Palmas Multiplex,Las Magnolias 754,1629.0,,,https://www.multiplex.com.ar/
6644010,6,6644,Salas de cine,Buenos Aires,Pinamar,Atlantica Oasis,Av. Shaw 644,7167.0,,,http://www.cineoasis.com.ar/
6182030,6,6182,Salas de cine,Buenos Aires,Punta Alta,Cinema Colon,Rivadavia 459,8109.0,,,http://www.cinemacolon.com.ar
6658010,6,6658,Salas de cine,Buenos Aires,Quilmes,Cine Teatro Municipalidad De Quilmes,Mitre 721,1878.0,,,https://www.facebook.com/INCAAQuilmes/
6658010,6,6658,Salas de cine,Buenos Aires,Quilmes,Hoyts General Cinema Quilmes,Av. Calchaqui 3950,1879.0,,,https://www.cinemarkhoyts.com.ar/
6658010,6,6658,Salas de cine,Buenos Aires,Quilmes,Showcase Quilmes,Olavarria 180,1878.0,,,https://www.todoshowcase.com/
6805010,6,6805,Salas de cine,Buenos Aires,RincÃ³n de Milberg,Atlas Nordelta,Av. De Los Lagos 7010,1617.0,,,http://www.nordeltacc.com.ar/
6686060,6,6686,Salas de cine,Buenos Aires,Rojas,Cine Frances,BartolomÃ© Mitre 328,2705.0,,,https://www.facebook.com/CineFrancesRojas/
6721020,6,6721,Salas de cine,Buenos Aires,SalliquelÃ³,Cine Teatro Soc. Italiana,PueyrredÃ³n 77,6339.0,,,Facebook: Cine SalliquelÃ³ - Sociedad Italiana
6714060,6,6714,Salas de cine,Buenos Aires,Salto,Cervantes,Alvear 65,2741.0,,,
6539010,6,6539,Salas de cine,Buenos Aires,San Antonio de Padua,Cinepolis Merlo,Av. Juan Domingo Peron 24056,1718.0,,,https://www.villagecines.com/
6420020,6,6420,Salas de cine,Buenos Aires,San Bernardo,Atlantica Arenas,Chiozza 1776,7111.0,,,
6420030,6,6420,Salas de cine,Buenos Aires,San Clemente,Gran Tuyu,Av. San Martin 181,7105.0,,,https://www.facebook.com/cine.tuyu/
6427010,6,6427,Salas de cine,Buenos Aires,San Justo,Cinemark San Justo,Av. Juan Manuel De Rosas 3990,1754.0,,,https://www.cinemarkhoyts.com.ar
6770050,6,6770,Salas de cine,Buenos Aires,San Pedro,La Palma,Belgrano 961,2930.0,,,https://www.facebook.com/MEC.LaPalma/
6420040,6,6420,Salas de cine,Buenos Aires,Santa Teresita,Atlantica Yanel,Calle 32 372,7107.0,,,
6420040,6,6420,Salas de cine,Buenos Aires,Santa Teresita,Atlantico,Calle 41 258,7107.0,,,
6791050,6,6791,Salas de cine,Buenos Aires,Tandil,Cinemacenter Tandil,Panama 351,7000.0,,,http://www.cinemacenter.com.ar/
6791050,6,6791,Salas de cine,Buenos Aires,Tandil,Espacio INCAA Unicen,Yrigoyen 662,7000.0,,,
6798020,6,6798,Salas de cine,Buenos Aires,Tapalque,Centro Cultural Municipal Dr. Ricardo Romera,Av. 9 De Julio Y Av. San Martin,7303.0,,,
6490010,6,6490,Salas de cine,Buenos Aires,Temperley,Hoyts Temperley,Av. Hipolito Irigoyen 10699,1834.0,,,https://www.cinemarkhoyts.com.ar/
6515010,6,6515,Salas de cine,Buenos Aires,Tortuguitas,Cinemark Tortuguitas,Constituyentes Y Au. Panamericana Km 36.5,1667.0,,,https://www.cinemarkhoyts.com.ar
6826050,6,6826,Salas de cine,Buenos Aires,Trenque Lauquen,Cine Barrio Alegre,9 De Julio 133,6400.0,,,https://www.facebook.com/cinebarrio3d/
6847020,6,6847,Salas de cine,Buenos Aires,Tres Lomas,Cine Teatro EspaÃ±ol,Monteverde 257,6409.0,,,https://www.facebook.com/cinetreslomas/
6371010,6,6371,Salas de cine,Buenos Aires,Villa Ballester,Cine Teatro Jose Hernandez,Balcarce 2973,1653.0,,,Facebook: Cine - Teatro JosÃ© HernÃ¡ndez
6840010,6,6840,Salas de cine,Buenos Aires,Villa Bosch,Victor Show Cinemas,El Payador 5539,1682.0,,,https://www.facebook.com/VictorShowCinemas/
6868020,6,6868,Salas de cine,Buenos Aires,Villa Gesell,Atlantic,Paseo 105 Entre 3 Y 2,7165.0,,,http://cineatlantic.com.ar/
6882050,6,6882,Salas de cine,Buenos Aires,Zarate,Cine Teatro Coliseo,19 De Marzo 314,2800.0,,,https://es-la.facebook.com/ZarateCineTeatroColiseo/
10049030,10,10049,Salas de cine,Catamarca,Catamarca,Cinemacenter Catamarca,Av. Guemes 850,4700.0,,,http://www.cinemacenter.com.ar/
10049030,10,10049,Salas de cine,Catamarca,Catamarca,Cines Del Solar,Intendente Mamerto Medina 220,4700.0,,,http://www.cinemacenter.com.ar/
22140060,22,22140,Salas de cine,Chaco,Resistencia,Cinemacenter Avalos,Av. Avalos y Av. Lavalle,3500.0,,,http://www.cinemacenter.com.ar/
22140060,22,22140,Salas de cine,Chaco,Resistencia,Cinemacenter Resistencia,Av. Dr. Sabin y Av. Nicolas Avellaneda,3500.0,,,http://www.cinemacenter.com.ar/
22140060,22,22140,Salas de cine,Chaco,Resistencia,Los Cines De La Costa - Sarmiento,Av. Sarmiento 2600,3500.0,,,http://resistencia.loscinesdelacosta.com.ar/
26021030,26,26021,Salas de cine,Chubut,Comodoro Rivadavia,Cine Coliseo,San Martin 570,9000.0,,,http://www.cinecr.com.ar
26021030,26,26021,Salas de cine,Chubut,Comodoro Rivadavia,Cine Teatro EspaÃ±ol,San Martin 668,9000.0,,,http://www.cinecr.com.ar
26035030,26,26035,Salas de cine,Chubut,Esquel,Auditorio Municipal De Esquel,Belgrano 330,9200.0,,,https://www.facebook.com/CulturaEsquel/
26007020,26,26007,Salas de cine,Chubut,Puerto Madryn,Sociedad Italiana - Auditorium Puerto Madryn,28 De Julio 129,9120.0,,,http://www.cinemadryn.com/
26077030,26,26077,Salas de cine,Chubut,Rawson,Centro Cultural Jose Hernandez,Dr. Jorge Galina S/N y Mitre,9103.0,,,
26077040,26,26077,Salas de cine,Chubut,Trelew,Coliseo,Belgrano 375,9100.0,,,
26077040,26,26077,Salas de cine,Chubut,Trelew,Espacio INCAA Km 1460,9 De Julio 655,9100.0,,,Facebook: Espacio INCAA Trelew
26035060,26,26035,Salas de cine,Chubut,Trevelin,Salon Municipal de Cine,28 De Julio 414,9203.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Angeba,Lavalle 750,1047.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Arte Multiplex,Av. Cabildo 2829,1428.0,,,https://www.multiplex.com.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Atlas Caballito,Av. Rivadavia 5071,1424.0,,,https://www.villagecines.com/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Atlas La Rural,Juncal 4431,1425.0,,,www.atlascines.com
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Atlas Liniers,RamÃ³n L. FalcÃ³n 7115,1408.0,,,www.atlascines.com
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Atlas Paseo Alcorta,Jeronimo Salguero 3172,1425.0,,,cineatlasweb.com.ar
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Atlas Patio Bullrich,Posadas 1245,1001.0,,,cineatlasweb.com.ar
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Atlas Rivera Indarte,Rivera Indarte 44,1406.0,,,cineatlasweb.com.ar
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Belgrano Multiplex,Vuelta De Obligado 2238,1428.0,,,https://www.multiplex.com.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Centro Cultural San MartÃ­n Sala 1 y 2,Sarmiento 1551,1042.0,,,https://elculturalsanmartin.ar/cine/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,1425.0,,,https://www.facebook.com/amigosdelbellasartes
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cine Box,Laprida 1423,1425.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cine del Recuerdo,Av. Juan de Garay 1267,1153.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cine Popular HQ,Moreno 2654,1094.0,,,https://www.facebook.com/CulturaATENac/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cine San Francisco,Av. Gral. Paz 10652,1408.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cinema Devoto,Jose Pedro Varela 4866,1417.0,,,https://cinemadevoto.com.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cinemark Caballito,Av. La Plata 96,1184.0,,,https://www.cinemarkhoyts.com.ar
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cinemark Palermo,Beruti 3399,1425.0,,,https://www.cinemarkhoyts.com.ar
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cinemark Puerto Madero,Av. Alicia M De Justo 1920,1107.0,,,https://www.cinemarkhoyts.com.ar
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Cinepolis Recoleta,Vicente Lopez 2050,1128.0,,,https://www.villagecines.com/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Complejo Cultural 25 de Mayo,Av. Triunvirato 4444,1431.0,,,https://cc25.org/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Eden - Sala 2,Santa Fe 1825,1123.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,El PÃ¡ramo Cultural,Carlos Calvo 3974,1230.0,,,https://www.facebook.com/ParamoCultural/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Gaumont,Av. Rivadavia 1635,1033.0,,,http://www.incaa.gov.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Hoyts Abasto,Aguero 665,1193.0,,,https://www.cinemarkhoyts.com.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Hoyts Panamericana,Melian 4880,1430.0,,,https://www.cinemarkhoyts.com.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Leopoldo Lugones,Av. Corrientes 1530,1042.0,,,https://complejoteatral.gob.ar/cine
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Lorca,Av. Corrientes 1428,1042.0,,,http://cinelorca.wixsite.com/cine-lorca
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Malba,Av. Figuero Alcorta 3415,1425.0,,,http://www.malba.org.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Monumental Lavalle,Lavalle 780,1047.0,,,https://www.multiplex.com.ar/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Nueva Victoria,Hipolito Yrigoyen 965,1086.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Popular Ecuador,Ecuador 54,1214.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,RaÃºl GonzÃ¡lez TuÃ±Ã³n,Av. Corrientes 1543,1042.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Showcase Cinemas Belgrano,Monroe 1655,1428.0,,,https://www.todoshowcase.com/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,UBA - Cosmos,Av. Corrientes 2046,1045.0,,,https://www.facebook.com/pg/cinecosmos.uba/
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Yrigoyen,Hipolito Yrigoyen 945,1086.0,,,
2000010,2,2000,Salas de cine,Ciudad AutÃ³noma de Buenos Aires,Ciudad AutÃ³noma de Buenos Aires,Microcine Centro Cultural Recoleta,Junin 1930,1113.0,,,http://www.centroculturalrecoleta.org/
14147010,14,14147,Salas de cine,CÃ³rdoba,Alta Gracia,Cinemacenter Alta Gracia,Belgrano 466,5186.0,,,https://www.cinemacenter.com.ar/
14147010,14,14147,Salas de cine,CÃ³rdoba,Alta Gracia,Dinosaurio Mall Alta Gracia,Gabino Ezeiza 1080,5186.0,,,https://dinomall.com.ar/
14098050,14,14098,Salas de cine,CÃ³rdoba,BerrotarÃ¡n,Cine Cooperativo BerrotarÃ¡n,ROGELIO MARTINEZ y MARIANO MORENO,5817.0,,,https://coopeb.com.ar/cine-teatro-multiespacio/
14014010,14,14014,Salas de cine,CÃ³rdoba,CÃ³rdoba,El JardÃ­n de las Delicias,Bv. San Juan 49,5000.0,,,https://cineclubmunicipal.org.ar/
14140230,14,14140,Salas de cine,CÃ³rdoba,La Francia,Cine Moderno,Antonio G. Almada 172,2426.0,,,https://www.facebook.com/teatrocinemoderno100/
14140030,14,14140,Salas de cine,CÃ³rdoba,Arroyito,Cinema 2000 Auditorium,Belgrano y Rafael NuÃ±ez,2434.0,,,https://www.facebook.com/pg/Cinema.2000.Arroyito.3D
14182060,14,14182,Salas de cine,CÃ³rdoba,Bell Ville,Sudcinemas Bell Ville,Mitre 61,5900.0,,,http://sudcinemas.com.ar/cine-wp/cine/bellville/
14182080,14,14182,Salas de cine,CÃ³rdoba,Canals,Guillermo J. Nolter,Moreno Y Sarmiento,2650.0,,,https://www.cinecoop3d.com/elcine.php
14091040,14,14091,Salas de cine,CÃ³rdoba,Capilla del Monte,Enrique MuiÃ±o,Dean Funes 526,5184.0,,,
14014010,14,14014,Salas de cine,CÃ³rdoba,CÃ³rdoba,Cines Gran Rex,Av. Gral. Paz 174,5000.0,,,http://cinesgranrex.com.ar/
14014010,14,14014,Salas de cine,CÃ³rdoba,CÃ³rdoba,Complejo Cinerama,Av. Colon 345,5000.0,,,https://www.cinerama.com.ar/
14014010,14,14014,Salas de cine,CÃ³rdoba,CÃ³rdoba,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,5014.0,,,https://www.cinesdinomall.com.ar/
14014010,14,14014,Salas de cine,CÃ³rdoba,CÃ³rdoba,Dinosaurio Mall Alto Verde,Rodriguez Del Busto 4086,5009.0,,,https://www.cinesdinomall.com.ar/Inicio
14014010,14,14014,Salas de cine,CÃ³rdoba,CÃ³rdoba,Dinosaurio Mall Ruta 20,Av. Fuerza Aerea 1700,5009.0,,,https://www.cinesdinomall.com.ar/Inicio
